Timestamp,What is your class standing?,How many credits are you signed up for in Spring 2025?,Are you a vegetarian?,How many hours of sleep do you get on average each night? ,Would you date someone with a great personality even if you did not find them attractive?,What is your biological sex?,"How many hours do you study outside of classes (on average) per week? (if this is your first quarter at UW, you may skip this question) ",What day of the week were you born?,What is the most (in dollars) you have paid for a haircut?,How many pairs of shoes do you own?,How nervous are you about taking STAT 311,How many siblings do you have? (include step sibs too),"Suppose you were late to an exam and decided to use the ""flat tire"" excuse. Which tire would you  pick?",What is your height (in inches)?,What is the fastest you have ever driven (in miles per hour). Skip this question if you do not drive.,"How many years have you lived in WA state? (enter 0 if none, round your answer to a whole number)",How many states in the U.S. have you visited?,How much money did you earn last year (in dollars )? ,Do you usually eat breakfast in the morning?,Do you wear eyeglasses or contact lenses?,What is your monthly rent?,"Scientists predict that global warming may have big effects on the polar regions within the next 100 years. One of the possible effects is that the northern ice cap may completely melt. Would this bother you a great deal, some, a little, or not at all if it actually happened?"
3/28/2025 17:08:38,Junior,18,No,8,yes,Female,12,Saturday,90,2,4,1,left front,64,90,0,5,0,No,No,2000,Somewhat
3/28/2025 17:20:54,Freshman,18,Sometimes,8,yes,Female,15,Sunday,65,6,5,0,right front,69,,1,3,0,No,Yes,"$1,440",A great deal
3/28/2025 17:25:51,Junior,18,No,7,yes,Female,30,Thursday,45,7,2,2,left front,63,108,0,17,3000,No,Yes,1300,Somewhat
3/28/2025 18:14:42,Sophomore,18,No,7,"yes, No",Male,20,Wednesday,50,4,2,0,right back,66.1,87,2,8,14000,No,No,1550,Somewhat
3/28/2025 18:34:26,Junior,22,No,7,No,Female,20,Thursday,65,5,4,0,left front,65,80,15,17,5795,No,No,1437,A great deal
3/28/2025 19:04:37,Junior,13,No,6,yes,Female,5,Saturday,50,20,3,2,left back,63,90,8,3,"20,000",Yes,No,0,A little
3/28/2025 19:25:14,Junior,15,No,6,yes,Female,20,Tuesday,55,6,5,2,right front,61,,20,10,0,Yes,Yes,999,A great deal
3/28/2025 20:10:57,Junior,14,No,8,No,Male,20,Saturday,80,14,3,0,right front,70,110,21,15,20000,Yes,No,850,A great deal
3/28/2025 21:03:36,Freshman,16,Yes,7,yes,Male,25,Monday,26,8,3,0,right back,69,,0,3,0,No,No,1400,Somewhat
3/28/2025 21:41:47,Sophomore,15,Yes,8,yes,Female,30,Saturday,80,14,3,2,left front,62,90,2,9,5123,No,No,0,A great deal
3/28/2025 21:42:49,Junior,20,Yes,6,yes,Female,10,Sunday,150,4,3,1,right back,67,70,0,12,"3,000",No,No,1500,Somewhat
3/29/2025 7:34:49,Junior,16,Yes,9,No,Female,30,Monday,40,8,2,2,left back,67,95,0,13,500,Yes,No,1154,A great deal
3/29/2025 10:04:31,Sophomore,17,Yes,7,No,Male,18,Thursday,85,8,2,1,right back,70,90,20,6,5000,Yes,No,1500,A great deal
3/29/2025 10:22:03,Freshman,13,Sometimes,8,yes,Female,15,Wednesday,100,6,4,5,left front,64,80,19,3,"10,000",No,No,0,A great deal
3/29/2025 10:37:47,Sophomore,18,No,7,yes,Male,10,Thursday,50,7,3,1,right front,72,,2,4,0,No,Yes,1545,A little
3/29/2025 11:11:31,Freshman,15,Yes,8,No,Female,20,Wednesday,80,5,3,1,right front,62,75,17,5,0,Yes,Yes,0,Somewhat
3/29/2025 12:38:50,Freshman,18,Yes,8,yes,Female,5,Monday,65,8,2,1,right back,62,84,18,13,600,Yes,Yes,1300,A great deal
3/29/2025 16:11:19,Sophomore,16,Yes,6,yes,Male,5,Wednesday,20,3,2,0,left back,64,,8,6,360,No,No,0,A great deal
3/29/2025 16:26:03,Junior,15,No,7,No,Male,15,Saturday,75,4,1,2,left front,69,,16,4,0,Yes,Yes,1500,Somewhat
3/29/2025 22:27:51,Sophomore,15,No,9,No,Female,10,Monday,70,30,2,1,right front,65,105,10,23,2000,Yes,No,1150,Somewhat
3/30/2025 13:26:59,Junior,15,No,7,No,Female,15,Friday,115,16,4,1,right front,69,90,1,16,13000,Yes,Yes,1800,A great deal
3/30/2025 15:59:15,Junior,5,No,8,yes,Female,20,Tuesday,75,7,4,1,right front,64,80,15,6,"18,000",No,No,"1,656",A great deal
3/30/2025 16:03:53,Junior,16,Yes,8.5,No,Prefer not to answer,17,Monday,45,8,2,2,left back,65,73,19,15,2931,Yes,No,0,A great deal
3/30/2025 16:50:13,Junior,18,Sometimes,7,yes,Male,15,Thursday,30,3,4,1,left front,6,90,3,11,20000,No,Yes,N/A,A great deal
3/30/2025 17:38:55,Junior,18,No,8,yes,Prefer not to answer,25,Thursday,65,4,2,2,right back,74,104,21,24,"17,621.89",Yes,Yes,n/a,A great deal
3/30/2025 18:43:51,Junior,17,No,7,yes,Female,8,Saturday,40,9,3,2,left back,62,85,20,10,"6,000",Yes,No,2100,A great deal
3/30/2025 18:59:13,Freshman,18,Yes,5,yes,Male,23,Saturday,5,6,3,1,left front,70,50,1,7,0,No,Yes,"$1,391",A great deal
3/30/2025 19:20:07,Junior,15,No,6,No,Male,20,Tuesday,0.1,5,4,7,left front,73,,22,5,0,No,No,1794,A great deal
3/30/2025 20:06:37,Junior,15,No,8,yes,Female,15,Saturday,150,10,2,0,right front,165,110,19,11,0,Yes,No,1100,Somewhat
3/30/2025 20:31:55,Junior,14,No,7,yes,Female,20,Saturday,60,3,4,5,right front,65,85,18 years,2,0,No,Yes,"$1,153",Somewhat
3/30/2025 21:09:02,Sophomore,15,No,7,yes,Female,10,Wednesday,60,15,2,1,left front,66,110,13,38,9500,No,Yes,875,A great deal
3/30/2025 21:17:14,Senior,15,No,8,yes,Male,20,Saturday,30,5,3,1,left front,66,95,22,17,10000,Yes,No,N/A,Somewhat
3/30/2025 21:24:50,Freshman,17,Yes,7,yes,Female,10,Monday,70,7,4,1,right back,66,90,0,18,5000,No,Yes,1200,A great deal
3/30/2025 22:17:39,Freshman,19,No,7,yes,Male,30,Friday,300,4,3,4,right front,70,100,0,6,0,Yes,No,2000,A little
3/30/2025 23:09:23,Freshman,15,No,6,yes,Female,,Wednesday,120,5,3,1,left front,65,,5,12,0 - stopped working ,Yes,Yes,"$4,174",A great deal
3/30/2025 23:29:25,Junior,12,No,4,yes,Male,18,Saturday,45,3,4,2,left front,69,65,8,14,0,Yes,No,0,A great deal
3/31/2025 0:19:01,Junior,18,No,7,yes,Male,40,Wednesday,0.0001,3,1,2,right front,71,,19,8,200,Yes,Yes,1300,Somewhat
3/31/2025 0:19:06,Junior,17,No,7,yes,Male,40,Wednesday,0.001,5,1,2,left front,69,,19,8,200,Yes,Yes,1300,Somewhat
3/31/2025 6:03:55,Junior,15,Sometimes,8,yes,Female,20,Sunday,400,8,4,1,left back,65,,2,10,5500,Yes,No,980,Somewhat
3/31/2025 8:59:19,Senior,12,No,8,yes,Male,12,Monday,50,4,4,1,right front,68,100,4,4,12000,No,Yes,1250,A great deal
3/31/2025 10:11:56,Freshman,18,No,7,No,Female,15,Tuesday,20,7,4,0,left front,65,,1,1,200,Yes,Yes,900,Somewhat
3/31/2025 10:16:36,Freshman,15,No,9.5,No,Male,3,Thursday,25,3,2,2,right front,77,90,19,8,"$1,300",Yes,No,1400,Somewhat
3/31/2025 10:54:57,Freshman,15,No,6,No,Male,15,Friday,105,8,4,Only child,right front,69.6,,1,6,2000,Yes,Yes,2400,Somewhat
3/31/2025 11:32:53,Sophomore,15,No,8,No,Female,20,Friday,100,6,4,1,right back,64,85,19,8,"8,000",No,No,n/a,Somewhat
3/31/2025 11:44:00,Junior,15,No,7,yes,Male,8,Thursday,70,15,4,1,left front,63,85,0,15,0,Yes,Yes,1500,Somewhat
3/31/2025 12:17:12,Junior,12,No,8,yes,Female,15,Saturday,200,15,3,1,left front,61,90,2,32,200,Yes,Yes,717,A great deal
3/31/2025 12:22:18,Sophomore,15,No,7,yes,Male,15,Friday,60,10+,3,2,right back,73,70,19,11,N/A,Yes,Yes,N/A,A great deal
3/31/2025 12:22:45,Junior,19,No,8,No,Male,,Friday,50,4,3,0,left front,70,120,17,13,2500,Yes,No,750,Somewhat
3/31/2025 12:25:06,Freshman,14,No,7,yes,Female,30,Saturday,100,7,1,1,right front,5.11,80,1,5,0,Yes,Yes,1537,Somewhat
3/31/2025 12:25:55,Junior,14,No,7,No,Male,8,Thursday,18,4,3,1,left front,73,115,19,8,"$1,500",Yes,Yes,"$1,250",A great deal
3/31/2025 12:51:13,Junior,15,No,6.5,No,Female,42,Monday,100,8,4,3,right back,62,90,0,18,2000,No,No,"$1,154",A great deal
3/31/2025 12:51:31,Sophomore,15,No,8,No,Female,14,Thursday,100,30,4,0,right back,69,100,20,5,4000,No,No,1400,Somewhat
3/31/2025 14:07:54,Sophomore,18,No,7,No,Female,30,Wednesday,80,50,4,7,right back,62,100,18,22,10000,Yes,Yes,900,A great deal
3/31/2025 14:10:09,Junior,15,No,8,No,Female,30,Wednesday,90,10,3,0,right front,71,85,2,12,0,Yes,No,"$1,500",A great deal
3/31/2025 14:15:47,Junior,14,No,7,yes,Female,25,Wednesday,90,30,4,0,right back,61,75,20,6,310,Yes,Yes,1437,A great deal
3/31/2025 14:48:33,Junior,13,No,5,"yes, No",Female,20,Thursday,70,at least 2,2,2,left back,64,,21,6,0,No,Yes,0,A great deal
3/31/2025 14:51:20,Junior,10,Sometimes,7,"yes, No",Female,20,Monday,100,7,4,1,left front,67,92,19,6,0,Yes,Yes,930,A great deal
3/31/2025 15:30:17,Sophomore,15,No,9,No,Male,12,Friday,65,8,2,1,left front,74,110,2,40,4000,Yes,No,1300,A great deal
3/31/2025 15:30:34,Junior,15,No,7,No,Male,15,Tuesday,200,5,3,2,left back,69,100,2,31,4336,No,No,1300,A great deal
3/31/2025 15:31:13,Sophomore,13,No,7,yes,Female,14,Thursday,200,20,5,1,right front,182,110,19,15,"10,000",Yes,No,"1,500",A great deal
3/31/2025 15:31:19,Freshman,17,No,8,yes,Male,28,Monday,35,6,3,1,right front,74,90,18,18,200,Yes,No,1200,Somewhat
3/31/2025 15:31:41,Freshman,15,No,7,No,Female,3,Thursday,60,10,2,1,left front,65,89,18,5,10k,No,Yes,?,Somewhat
3/31/2025 15:34:09,Sophomore,14,No,8,No,Male,20,Monday,45,9,3,1,right front,71,90,2,15,10000,Yes,No,1500,A great deal
3/31/2025 15:34:44,Sophomore,16,No,7,No,Female,3,Monday,250,10,3,0,right front,66,120,2,17,500,No,Yes,1300,A great deal
3/31/2025 15:35:44,Freshman,15,No,5,No,Female,35,Wednesday,180,10,4,1,left front,65,85,0,25,0,Yes,Yes,962.67,A great deal
3/31/2025 15:37:19,Junior,18,No,9,No,Female,15,Tuesday,180,too many ,1,1,right back,62,110,8,22,1500,Yes,No,n/a,A great deal
3/31/2025 15:38:52,Freshman,19,Sometimes,7,No,Male,10,Tuesday,50,2,2,1,left front,62,,1,4,1500,Yes,No,1530,Somewhat
3/31/2025 15:40:27,Sophomore,15,No,7,No,Male,10,Thursday,40,3,2,1,right back,73,,1,1,0,No,No,4000,Somewhat
3/31/2025 15:41:05,Freshman,15,No,9,No,Male,30,Tuesday,45,7,3,1,right front,69,92,19,10,5000,No,No,1575,Somewhat
3/31/2025 15:45:31,Junior,17,No,7.5,yes,Male,20,Thursday,60,2,3,0,left front,66,,1,5,0,No,No,1400,Somewhat
3/31/2025 15:46:50,Junior,15,No,6,No,Female,9,Sunday,150,12,3,6,right front,62,95,19,12,12000,No,No,1049,A great deal
3/31/2025 15:49:19,Junior,18,No,9,No,Female,20,Thursday,0.0000001,2,1,1,left front,64,,16,5,0,Yes,Yes,0,A great deal
3/31/2025 16:02:59,Junior,18,No,8,No,Male,12,Sunday,80,8,3,1,left front,70,100,29,30,59000,No,No,0,Somewhat
3/31/2025 16:33:50,Freshman,15,No,8,yes,Female,15,Wednesday,70,10,3,1,right front,65,60,40,5,0,Yes,Yes,2000,Somewhat
3/31/2025 17:36:22,Sophomore,15,No,7,yes,Female,10,Tuesday,100,7,5,1,left front,64,85,2,6,50,Yes,Yes,1500,A great deal
3/31/2025 18:15:42,Junior,17,No,5,No,Male,10,Friday,35,7,1,1,left front,69,,1,8,0,No,Yes,985,A great deal
3/31/2025 18:31:13,Junior,15,No,9,yes,Female,14,Tuesday,30,5,3,1,right front,66,110,1,5,"14,000",Yes,No,1400,A great deal
3/31/2025 18:32:32,Junior,15,No,7,No,Female,15,Thursday,60,20,4,2,left front,64,98,18,11,3000,No,No,1000,Somewhat
3/31/2025 20:17:11,Freshman,20,No,10,No,Female,8,Tuesday,100,20,4,1,right back,63,85,0,10,1050,Yes,No,1195,Not al all
3/31/2025 21:00:35,Senior,15,No,7,No,Male,30,Monday,80,10,3,1,right front,71,90,20,12,"5,000",Yes,No,"1,000",A great deal
4/1/2025 11:16:49,Junior,15,No,8,No,Male,15,Friday,55,12,4,1,left front,60,85,18,39,33000,Yes,No,0,Somewhat
4/1/2025 14:34:14,Junior,10,No,5,yes,Male,15,Monday,36,5,5,1,right back,67,90,20,8,18000,No,No,1800,A great deal
4/1/2025 15:01:38,Junior,14,No,8,No,Male,14,Wednesday,35,26,4,1,left front,69,125,2,5,"10,000",No,No,1483,Somewhat
4/1/2025 15:36:46,Junior,14,No,8,"yes, No",Male,10,Tuesday,45,8,2,1,left front,70,60,20,9,1000,Yes,No,n/a,A great deal
4/1/2025 15:45:44,Senior,16,No,8,No,Female,6,Wednesday,300,9,4,1,right front,64,72,8,4,0,No,Yes,2200,Somewhat
4/1/2025 15:49:42,Junior,16,No,5,No,Male,12,Tuesday,550,8,1,2,left back,69,120,21,10,13000,Yes,No,1150,A great deal
4/1/2025 17:15:25,Freshman,16,No,9,yes,Female,15,Saturday,200,6,5,0,right back,66,,1,3,500,No,Yes,1200,Somewhat
4/1/2025 23:48:49,Sophomore,10,No,7,No,Male,10,Thursday,35,2,4,2,right front,70,130,19,5,46000,No,Yes,0,Somewhat
4/2/2025 9:08:55,Sophomore,16,No,7,yes,Female,6,Tuesday,35,6,3,0,left back,61,90,16,13,0,No,Yes,1200,A great deal
4/2/2025 10:18:49,Sophomore,19,No,8,yes,Male,14,Wednesday,270,2,1,2,left front,71,20,20,3,0,No,Yes,1270,A little
4/2/2025 12:32:43,Junior,17,No,6.5,"yes, No",Female,10,Monday,120,30,2,2,right back,64,90,20,5,"8,000",No,Yes,967,A great deal
4/2/2025 15:36:33,Sophomore,18,No,8,yes,Female,49,Thursday,20,5,3,1,right back,63,,0,3,0,No,No,1400,A little
4/2/2025 15:37:22,Sophomore,14,Yes,8,yes,Male,5,Saturday,28,3,3,1,right back,67,87,1,5,1000,Yes,No,1100,Somewhat
4/2/2025 15:37:46,Junior,14,No,6.5,No,Male,10,Monday,60,8,5,1,right front,68.5,125,3,13,6000,Yes,Yes,850,A great deal
4/2/2025 15:39:40,Junior,15,No,6,No,Female,9,Tuesday,50,8,4,2,left front,78,120,21,7,"6,000",Yes,Yes,825,A great deal
4/2/2025 15:40:20,Sophomore,15,No,7,No,Male,,Tuesday,340,24,3,0,left front,71,,1,6,-60000,Yes,No,1800,A great deal
4/2/2025 15:41:11,Sophomore,15,No,9,yes,Male,6,Friday,80,12,4,1,right front,78,130,1,16,3000,No,No,1200,A little
4/2/2025 15:41:29,Senior,16,No,8,No,Male,15,Thursday,40,5,1,2,right front,76,100,4,30,2500,Yes,Yes,1200,A great deal
4/2/2025 15:41:47,Junior,16,No,5,No,Female,10,Tuesday,100,20,3,2,left back,66,140,19,4,5000,Yes,No,1100,A little
4/2/2025 15:41:59,Freshman,15,No,7,yes,Female,5,Tuesday,400,5,3,0,right back,63,,1,3,0,No,Yes,1000,Somewhat
4/2/2025 15:42:22,Sophomore,15,No,7,No,Female,9,Thursday,50,15,3,1,left back,67,85,18,20,2000,Yes,No,1550,A great deal
4/2/2025 15:42:32,Sophomore,16,No,7,"yes, No",Male,15,Wednesday,40,6,3,7,left front,70,,1,3,0,No,Yes,1450,Not al all
4/2/2025 15:43:48,Sophomore,18,No,5.5,No,Male,15,Tuesday,60,4,4,1,left front,70.5,135,5,35,8000,Yes,No,1720,A great deal
4/2/2025 15:44:01,Junior,15,No,7,No,Male,5,Sunday,35,33,2,1,right back,73,87,3,2,"50,000",Yes,No,2500,A great deal
4/2/2025 15:44:08,Sophomore,14,No,7,yes,Female,35,Saturday,300,6,4,1,right front,66,68,1.5,3,0,Yes,Yes,1580,A great deal
4/2/2025 15:44:56,Sophomore,18,No,7,No,Male,6,Friday,60,9,3,2,left back,71,100,2,7,1000,Yes,No,1500,Somewhat
4/2/2025 15:45:16,Junior,15,No,7,No,Female,15,Friday,100,10,3,2,right front,60,,16,16,9000,No,No,0,A little
4/2/2025 15:47:04,Junior,20,No,7,yes,Female,10,Saturday,30,7,4,2,right back,64,90,3,8,"~5,000",Yes,No,785,A great deal
4/2/2025 15:54:40,Freshman,18,No,7,yes,Female,10,Wednesday,100,11,2,0,right front,68,160,0,6,1000,No,Yes,1900,A great deal
4/2/2025 15:56:54,Junior,15,No,7,yes,Female,10,Sunday,75,5,2,0,left front,64,80,19,15,5000,No,Yes,1500,A great deal
4/2/2025 16:01:05,Junior,17,No,6,No,Female,7,Friday,150,10,3,2,left back,65,130,5,14,20000,No,No,850,A little
4/2/2025 18:55:01,Freshman,17,No,8,yes,Male,30,Wednesday,80,6,3,1,left back,73,80,18,15,"$4,000",No,No,"1,333.33",Somewhat
4/2/2025 20:17:50,Freshman,15,No,8,No,Male,14,Tuesday,45,12,4,1,right front,67,90,19,35,6000,Yes,No,idk ,Not al all
4/2/2025 20:44:16,Junior,15,No,9,No,Male,15,Friday,80,5,3,2,right front,70,115,21,7,20000,Yes,No,755,A little
4/2/2025 20:56:29,Junior,18,No,7,No,Male,4,Sunday,70,7,1,1,right back,69,150,25,All of them,350,No,No,0,Not al all
4/2/2025 21:01:18,Sophomore,15,No,7.5,yes,Female,14,Friday,30,5,4,5,left front,63,,one and a half year,2,none,No,Yes,1134,Somewhat
4/3/2025 0:40:59,Sophomore,16,No,7,yes,Male,5,Thursday,20,3,3,1,right front,72,102,17,26,"~10,000",No,No,1600,A great deal
4/3/2025 9:25:15,Senior,18,No,8,No,Male,6,Tuesday,60,7,1,1,left front,68.5,120,21,10+,"$30,000",Yes,Yes,"1,200",A great deal
4/3/2025 9:28:14,Sophomore,13,No,8,yes,Female,4,Sunday,48,5,2,2,right front,65,,20,5,0,No,No,1600,A great deal
4/3/2025 9:29:55,Junior,15,No,7,No,Male,14,Monday,36,2,4,1,left front,73,80,22,7,600,Yes,Yes,0,Somewhat
4/3/2025 10:55:20,Freshman,17,No,7.5,yes,Female,20,Friday,40,2,2,1,right back,69,85,19,13,"$9,000",Yes,Yes,"$1,400",A great deal
4/3/2025 12:57:38,Sophomore,14,No,8,No,Male,20,Monday,55,4,3,4,right back,72,,20,1,16000,No,Yes,0,Somewhat
4/3/2025 13:32:11,Junior,3,No,7,yes,Male,20,Tuesday,70,6,5,1,left front,66,102,19,4,10000,Yes,No,1000,Somewhat
4/3/2025 13:41:26,Freshman,15,No,8,yes,Male,21,Wednesday,30,15,1,1,left front,71,115,7,17,1100,No,No,1153,A great deal
4/3/2025 18:22:21,Junior,15,No,7,No,Prefer not to answer,10,Wednesday,300,14,5,2,left back,67,140,3,37,"10,000",Yes,No,875,A great deal
4/6/2025 15:31:07,Sophomore,18,No,8,No,Male,20,Sunday,40,5,4,3,right back,72,120,1,4,0,Yes,Yes,2000,Somewhat
4/7/2025 16:34:39,Sophomore,13,No,7,yes,Male,4,Thursday,60,10,4,2,right front,70,100,20,35,"8,000",No,No,1500,Somewhat